rank,player,log,lda,rf,gbc,dnn,avg
107,Danilo Gallinari,37.86904178,37.74872512,38.00591872,38.47718586,37.78434629,37.97704355
108,Al Horford,38.27335926,38.17207054,37.04906925,38.03763334,38.35130296,37.97668707
109,Steven Adams,37.55260696,37.5681881,38.46270254,38.68303791,37.58714579,37.97073626
110,Marcus Morris,37.97139473,37.91153662,38.11327278,38.03580384,37.63881482,37.93416456
111,Josh Jackson,38.20218365,38.17797966,37.62381833,37.70745684,37.8964428,37.92157626
112,Quinn Cook,38.10537835,38.06234915,36.97439375,37.60831211,38.44297078,37.83868083
113,Dwyane Wade,37.81980224,37.72527767,37.56038481,38.10273699,37.64830412,37.77130117
114,Jonas Jerebko,38.22560955,38.19757803,36.72211948,37.55622164,38.13255724,37.76681719
115,Kyle Lowry,38.5896231,38.40198057,36.41888398,37.35855457,38.05143056,37.76409456
116,Zach Collins,38.09226035,38.08705688,36.9242007,37.52726936,37.87691439,37.70154034
117,Jonathan Isaac,37.35328214,37.33201381,37.99160519,37.82298795,37.21795533,37.54356889
118,Gordon Hayward,37.32035504,37.26817668,37.4550922,37.92332681,37.25627703,37.44464555
119,Thomas Bryant,38.2112473,38.17225277,36.31459724,36.70806517,37.78592759,37.43841801
120,T.J. McConnell,37.7407123,37.71359465,36.68287221,37.18619341,37.36942585,37.33855968
121,Gerald Green,37.07717521,37.04039594,37.23283622,37.28895625,37.37270432,37.20241359
122,Josh Richardson,37.66366241,37.57514776,36.69328524,36.47367207,36.97274158,37.07570181
123,Jeff Green,36.85594369,36.83285082,37.45778685,37.16742469,36.49109716,36.96102064
124,Bogdan Bogdanovic,37.06706941,36.97643143,36.62217519,37.02290545,36.6515041,36.86801712
125,Torrey Craig,36.58436458,36.59249796,36.7876752,37.003148,36.81349333,36.75623582
126,Joe Harris,36.49547499,36.43961401,37.43112527,36.83403402,36.26033062,36.69211578
127,Maxi Kleber,36.76153813,36.74758632,36.15882923,36.60632583,36.6686232,36.58858054
128,Kevin Huerter,36.45357524,36.40788929,36.93206379,36.63490405,36.48230409,36.58214729
129,Harrison Barnes,35.94575388,35.90417928,37.92838111,37.05338231,35.9795352,36.56224636
130,Collin Sexton,36.12786642,36.11919424,37.89279604,36.94068429,35.52607288,36.52132277
131,Jaylen Brown,36.32823416,36.31032732,37.0815773,36.68176921,36.17488591,36.51535878
