rank,player,log,lda,rf,gbc,dnn,avg
44,Elfrid Payton,0.546514742,0.544932419,0.535540386,0.539723221,0.550354432,0.54341304
45,Andre Drummond,0.562016078,0.560959739,0.521492515,0.525887859,0.543157353,0.542702709
46,Brook Lopez,0.54586377,0.544666625,0.534123214,0.542540893,0.543464432,0.542131787
47,Donovan Mitchell,0.538036206,0.53618768,0.54959611,0.537888975,0.541646177,0.54067103
48,Jonas Valanciunas,0.54713338,0.546314216,0.532433972,0.530916352,0.539070518,0.539173688
49,Terrence Ross,0.534997503,0.533791736,0.545321246,0.542522623,0.535836753,0.538493972
50,Larry Nance,0.544222362,0.5435003,0.523631169,0.536199081,0.544240968,0.538358776
51,Klay Thompson,0.536797254,0.535481047,0.540793442,0.534494445,0.541619798,0.537837197
52,Shabazz Napier,0.542784703,0.541808315,0.528309068,0.538814968,0.536785639,0.537700539
53,Kyle O'Quinn,0.541635047,0.541364568,0.521510265,0.533285787,0.547236563,0.537006446
54,Dewayne Dedmon,0.542098234,0.54120745,0.523734464,0.532753179,0.534202317,0.534799129
55,Joakim Noah,0.545967184,0.545543951,0.513210846,0.523254474,0.545554909,0.534706273
56,Julius Randle,0.529766893,0.528508975,0.537109562,0.533487369,0.537385361,0.533251632
57,Ekpe Udoh,0.536830159,0.536567465,0.518543256,0.530474411,0.542448521,0.532972763
58,DeMar DeRozan,0.520171936,0.518848522,0.551937417,0.539130773,0.534349994,0.532887728
59,Jimmy Butler,0.531411429,0.529802853,0.534298292,0.53060098,0.535260973,0.532274905
60,Derrick Rose,0.532874926,0.531768211,0.526010012,0.530953779,0.538355877,0.531992561
61,Jamal Murray,0.535081859,0.533557407,0.527833379,0.526270069,0.536618888,0.531872321
62,Luke Kornet,0.542245544,0.541254029,0.510213903,0.520564986,0.54215135,0.531285963
63,Darren Collison,0.534632735,0.533046192,0.528786468,0.530676187,0.525797363,0.530587789
64,Derrick Favors,0.535253184,0.534743564,0.522395277,0.531653975,0.528763384,0.530561877
65,Terry Rozier,0.531149877,0.530008272,0.52314171,0.537573204,0.530842467,0.530543106
66,John Collins,0.534571109,0.533888653,0.524919483,0.523459958,0.532060819,0.529780005
67,Tony Parker,0.530197726,0.530045791,0.520429315,0.534551169,0.533159148,0.52967663
